"Unnamed: 0","airport","airport_name","carrier_name","arr_delay","arr_flights","avg_delay"
"112","AUS","Austin, TX: Austin - Bergstrom International","Endeavor",6173,709,8.70662905500705
"113","AUS","Austin, TX: Austin - Bergstrom International","Envoy",88320,8488,10.4052780395853
"114","AUS","Austin, TX: Austin - Bergstrom International","Frontier",4649,319,14.5736677115987
"115","AUS","Austin, TX: Austin - Bergstrom International","Hawaiian",2779,170,16.3470588235294
"116","AUS","Austin, TX: Austin - Bergstrom International","Horizon",1854,210,8.82857142857143
"117","AUS","Austin, TX: Austin - Bergstrom International","JetBlue",29607,1192,24.8380872483221
"118","AUS","Austin, TX: Austin - Bergstrom International","Mesa",9805,547,17.9250457038391
"119","AUS","Austin, TX: Austin - Bergstrom International","Republic",2000,88,22.7272727272727
"120","AUS","Austin, TX: Austin - Bergstrom International","SkyWest",39099,1977,19.7769347496206
"121","AUS","Austin, TX: Austin - Bergstrom International","Southwest",366855,37513,9.77940980460107
"122","AUS","Austin, TX: Austin - Bergstrom International","Spirit",45875,2453,18.7015898899307
"123","AUS","Austin, TX: Austin - Bergstrom International","United",131997,9392,14.0541950596252
"124","AVL","Asheville, NC: Asheville Regional","Air Wisconsin",4519,188,24.0372340425532
"125","AVL","Asheville, NC: Asheville Regional","Allegiant",77487,3137,24.7009882052917
"126","AVL","Asheville, NC: Asheville Regional","American",30447,1118,27.2334525939177
"127","AVL","Asheville, NC: Asheville Regional","Delta",19271,2113,9.12020823473734
"128","AVL","Asheville, NC: Asheville Regional","Endeavor",6385,774,8.24935400516796
"129","AVL","Asheville, NC: Asheville Regional","Envoy",10448,636,16.4276729559748
"130","AVL","Asheville, NC: Asheville Regional","United Express",1267,254,4.98818897637795
"131","AVL","Asheville, NC: Asheville Regional","JetBlue",2369,83,28.5421686746988
"132","AVL","Asheville, NC: Asheville Regional","PSA",14742,1677,8.7906976744186
"133","AVL","Asheville, NC: Asheville Regional","Piedmont",5651,619,9.12924071082391
"134","AVL","Asheville, NC: Asheville Regional","Republic",7765,955,8.13089005235602
"135","AVL","Asheville, NC: Asheville Regional","SkyWest",8661,720,12.0291666666667
"136","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","Air Wisconsin",2704,159,17.0062893081761
"137","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","American",12390,659,18.8012139605463
"138","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","Envoy",1665,236,7.05508474576271
"139","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","United Express",9125,591,15.4399323181049
"140","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","PSA",3704,404,9.16831683168317
"141","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","Republic",2009,175,11.48
"142","AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","SkyWest",13429,568,23.6426056338028
"143","AZA","Phoenix, AZ: Phoenix - Mesa Gateway","Allegiant",102269,5452,18.7580704328687
"144","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International","Air Wisconsin",16734,669,25.0134529147982
"145","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International","Endeavor",5914,526,11.2433460076046
"146","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International","Envoy",662,53,12.4905660377358
"147","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International","Piedmont",588,51,11.5294117647059
"148","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International","SkyWest",2188,284,7.70422535211268
"149","BDL","Hartford, CT: Bradley International","American",58963,2995,19.6871452420701
"150","BDL","Hartford, CT: Bradley International","CommuteAir",910,35,26
"151","BDL","Hartford, CT: Bradley International","Delta",35178,3900,9.02
"152","BDL","Hartford, CT: Bradley International","Endeavor",6473,456,14.1951754385965
"153","BDL","Hartford, CT: Bradley International","Envoy",2267,317,7.15141955835962
"154","BDL","Hartford, CT: Bradley International","Frontier",29217,987,29.6018237082067
"155","BDL","Hartford, CT: Bradley International","United Express",459,23,19.9565217391304
"156","BDL","Hartford, CT: Bradley International","JetBlue",99385,3388,29.3344155844156
"157","BDL","Hartford, CT: Bradley International","Mesa",11176,693,16.1269841269841
"158","BDL","Hartford, CT: Bradley International","PSA",15088,1541,9.7910447761194
"159","BDL","Hartford, CT: Bradley International","Piedmont",4820,501,9.62075848303393
"160","BDL","Hartford, CT: Bradley International","Republic",8719,1453,6.0006882312457
"161","BDL","Hartford, CT: Bradley International","SkyWest",1338,117,11.4358974358974
"162","BDL","Hartford, CT: Bradley International","Southwest",49591,3945,12.5705956907478
"163","BDL","Hartford, CT: Bradley International","Spirit",15568,840,18.5333333333333
"164","BDL","Hartford, CT: Bradley International","United",25451,1717,14.8229470005824
"165","BET","Bethel, AK: Bethel Airport","Alaska",6537,722,9.05401662049861
"166","BFF","Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field","SkyWest",7104,606,11.7227722772277
"167","BFL","Bakersfield, CA: Meadows Field","American",18842,830,22.7012048192771
"168","BFL","Bakersfield, CA: Meadows Field","Envoy",3298,284,11.612676056338
"169","BFL","Bakersfield, CA: Meadows Field","Mesa",0,1,0
"170","BFL","Bakersfield, CA: Meadows Field","SkyWest",17225,1502,11.4680426098535
"171","BGM","Binghamton, NY: Greater Binghamton/Edwin A. Link Field","Endeavor",10040,658,15.258358662614
"172","BGR","Bangor, ME: Bangor International","Allegiant",3898,391,9.9693094629156
"173","BGR","Bangor, ME: Bangor International","American",8347,570,14.6438596491228
"174","BGR","Bangor, ME: Bangor International","Endeavor",13444,1494,8.99866131191432
"175","BGR","Bangor, ME: Bangor International","Envoy",1229,161,7.63354037267081
"176","BGR","Bangor, ME: Bangor International","United Express",1714,89,19.2584269662921
"177","BGR","Bangor, ME: Bangor International","PSA",16134,1026,15.7251461988304
"178","BGR","Bangor, ME: Bangor International","Piedmont",4402,354,12.4350282485876
"179","BGR","Bangor, ME: Bangor International","Republic",8811,962,9.15904365904366
"180","BGR","Bangor, ME: Bangor International","SkyWest",1133,110,10.3
"181","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Air Wisconsin",2952,165,17.8909090909091
"182","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","American",28415,925,30.7189189189189
"183","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","CommuteAir",4811,293,16.419795221843
"184","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Delta",25613,2718,9.42347314201619
"185","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Endeavor",11753,1054,11.1508538899431
"186","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Envoy",17324,1646,10.5249088699878
"187","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","United Express",1862,196,9.5
"188","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Mesa",25584,895,28.5854748603352
"189","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","PSA",35805,3287,10.892911469425
"190","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Piedmont",86,8,10.75
"191","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Republic",4275,498,8.58433734939759
"192","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","SkyWest",24100,1853,13.0059363194819
"193","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","Southwest",48812,3942,12.3825469304921
"194","BHM","Birmingham, AL: Birmingham-Shuttlesworth International","United",64,23,2.78260869565217
"195","BIH","Bishop, CA: Bishop Airport","SkyWest",4619,257,17.9727626459144
"196","BIL","Billings, MT: Billings Logan International","Allegiant",3669,256,14.33203125
"197","BIL","Billings, MT: Billings Logan International","CommuteAir",1288,116,11.1034482758621
"198","BIL","Billings, MT: Billings Logan International","Delta",11618,795,14.6138364779874
"199","BIL","Billings, MT: Billings Logan International","Envoy",5231,652,8.02300613496933
"200","BIL","Billings, MT: Billings Logan International","Horizon",4862,800,6.0775
"201","BIL","Billings, MT: Billings Logan International","Mesa",3825,165,23.1818181818182
"202","BIL","Billings, MT: Billings Logan International","SkyWest",6384,1053,6.06267806267806
"203","BIL","Billings, MT: Billings Logan International","United",13107,728,18.0041208791209
"204","BIS","Bismarck/Mandan, ND: Bismarck Municipal","Allegiant",4141,382,10.8403141361257
"205","BIS","Bismarck/Mandan, ND: Bismarck Municipal","Delta",6463,356,18.1544943820225
"206","BIS","Bismarck/Mandan, ND: Bismarck Municipal","Endeavor",244,1,244
"207","BIS","Bismarck/Mandan, ND: Bismarck Municipal","Envoy",3518,382,9.20942408376963
"208","BIS","Bismarck/Mandan, ND: Bismarck Municipal","Mesa",528,24,22
"209","BIS","Bismarck/Mandan, ND: Bismarck Municipal","SkyWest",23200,2376,9.76430976430976
"210","BJI","Bemidji, MN: Bemidji Regional","SkyWest",6860,712,9.63483146067416
"211","BLI","Bellingham, WA: Bellingham International","Allegiant",10906,966,11.2898550724638
"212","BLI","Bellingham, WA: Bellingham International","Horizon",1132,228,4.96491228070175
"213","BLI","Bellingham, WA: Bellingham International","SkyWest",2396,602,3.98006644518272
"214","BLI","Bellingham, WA: Bellingham International","Southwest",12146,1058,11.4801512287335
"215","BLV","Belleville, IL: Scott AFB MidAmerica St Louis","Allegiant",12466,984,12.6686991869919
"216","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Air Wisconsin",8448,475,17.7852631578947
"217","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Allegiant",2539,218,11.6467889908257
"218","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Endeavor",653,201,3.24875621890547
"219","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Envoy",4911,653,7.52067381316999
"220","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Frontier",1467,94,15.6063829787234
"221","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Mesa",2546,67,38
"222","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","Piedmont",3202,183,17.4972677595628
"223","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","SkyWest",9874,616,16.0292207792208
"224","BNA","Nashville, TN: Nashville International","Alaska",7079,834,8.48800959232614
"225","BNA","Nashville, TN: Nashville International","Allegiant",85523,4130,20.7077481840194
"226","BNA","Nashville, TN: Nashville International","American",159114,8119,19.5977337110482
"227","BNA","Nashville, TN: Nashville International","CommuteAir",112,4,28
"228","BNA","Nashville, TN: Nashville International","Delta",81013,8228,9.84601361205639
"229","BNA","Nashville, TN: Nashville International","Endeavor",9534,928,10.2737068965517
"230","BNA","Nashville, TN: Nashville International","Envoy",33863,2898,11.6849551414769
"231","BNA","Nashville, TN: Nashville International","Frontier",18185,1111,16.3681368136814
"232","BNA","Nashville, TN: Nashville International","United Express",958,97,9.87628865979381
"233","BNA","Nashville, TN: Nashville International","JetBlue",55361,2220,24.9373873873874
"234","BNA","Nashville, TN: Nashville International","Mesa",11061,759,14.5731225296443
"235","BNA","Nashville, TN: Nashville International","PSA",28841,2843,10.1445655997186
"236","BNA","Nashville, TN: Nashville International","Piedmont",86,5,17.2
"237","BNA","Nashville, TN: Nashville International","Republic",30428,4497,6.76628863686902
"238","BNA","Nashville, TN: Nashville International","SkyWest",48150,2729,17.6438255771345
"239","BNA","Nashville, TN: Nashville International","Southwest",453500,48264,9.39623736118017
"240","BNA","Nashville, TN: Nashville International","Spirit",60095,3262,18.4227467811159
"241","BNA","Nashville, TN: Nashville International","United",95605,6436,14.8547234307023
"242","BOI","Boise, ID: Boise Air Terminal","Alaska",7417,953,7.78279118572928
"243","BOI","Boise, ID: Boise Air Terminal","Allegiant",7777,348,22.3477011494253
"244","BOI","Boise, ID: Boise Air Terminal","American",27751,1368,20.2858187134503
"245","BOI","Boise, ID: Boise Air Terminal","Delta",23059,2639,8.73777946191739
"246","BOI","Boise, ID: Boise Air Terminal","Envoy",1201,125,9.608
"247","BOI","Boise, ID: Boise Air Terminal","Horizon",27213,4100,6.63731707317073
"248","BOI","Boise, ID: Boise Air Terminal","Mesa",1168,56,20.8571428571429
"249","BOI","Boise, ID: Boise Air Terminal","SkyWest",74859,9471,7.90402280646183
"250","BOI","Boise, ID: Boise Air Terminal","Southwest",47464,4203,11.2928860337854
"251","BOI","Boise, ID: Boise Air Terminal","Spirit",6740,468,14.4017094017094
"252","BOI","Boise, ID: Boise Air Terminal","United",20330,1557,13.0571612074502
"253","BOS","Boston, MA: Logan International","Alaska",31092,2514,12.3675417661098
"254","BOS","Boston, MA: Logan International","Allegiant",4019,511,7.86497064579256
"255","BOS","Boston, MA: Logan International","American",302700,15982,18.9400575647604
"256","BOS","Boston, MA: Logan International","Delta",396419,26109,15.1832318357654
"257","BOS","Boston, MA: Logan International","Endeavor",0,16,0
"258","BOS","Boston, MA: Logan International","Envoy",25798,1759,14.6662876634451
"259","BOS","Boston, MA: Logan International","Frontier",8856,525,16.8685714285714
"260","BOS","Boston, MA: Logan International","Hawaiian",3317,222,14.9414414414414
"261","BOS","Boston, MA: Logan International","JetBlue",1178663,44641,26.4031495710222
"262","BOS","Boston, MA: Logan International","Mesa",989,35,28.2571428571429
"263","BOS","Boston, MA: Logan International","Piedmont",18527,1361,13.6127847171198
"264","BOS","Boston, MA: Logan International","Republic",206108,22932,8.98778998778999
"265","BOS","Boston, MA: Logan International","SkyWest",38936,1992,19.5461847389558
"266","BOS","Boston, MA: Logan International","Southwest",98009,6172,15.8796176279974
"267","BOS","Boston, MA: Logan International","Spirit",109993,4883,22.5257014130657
"268","BOS","Boston, MA: Logan International","United",172627,12264,14.0759132420091
"269","BPT","Beaumont/Port Arthur, TX: Jack Brooks Regional","Envoy",156,47,3.31914893617021
"270","BPT","Beaumont/Port Arthur, TX: Jack Brooks Regional","SkyWest",13710,680,20.1617647058824
"271","BQK","Brunswick, GA: Brunswick Golden Isles","Endeavor",5953,495,12.0262626262626
"272","BQK","Brunswick, GA: Brunswick Golden Isles","SkyWest",3064,234,13.0940170940171
"273","BQN","Aguadilla, PR: Rafael Hernandez","Frontier",10823,440,24.5977272727273
"274","BQN","Aguadilla, PR: Rafael Hernandez","JetBlue",40962,1455,28.1525773195876
"275","BQN","Aguadilla, PR: Rafael Hernandez","Spirit",18593,638,29.1426332288401
"276","BQN","Aguadilla, PR: Rafael Hernandez","United",10449,365,28.627397260274
"277","BRD","Brainerd, MN: Brainerd Lakes Regional","SkyWest",4609,622,7.40996784565916
"278","BRO","Brownsville, TX: Brownsville South Padre Island International","CommuteAir",14309,1386,10.3239538239538
"279","BRO","Brownsville, TX: Brownsville South Padre Island International","Envoy",6009,875,6.86742857142857
"280","BRO","Brownsville, TX: Brownsville South Padre Island International","Mesa",6610,107,61.7757009345794
"281","BRO","Brownsville, TX: Brownsville South Padre Island International","PSA",2918,163,17.9018404907975
"282","BRO","Brownsville, TX: Brownsville South Padre Island International","SkyWest",4399,307,14.328990228013
"283","BRW","Barrow, AK: Wiley Post/Will Rogers Memorial","Alaska",4908,364,13.4835164835165
"284","BRW","Barrow, AK: Wiley Post/Will Rogers Memorial","Horizon",191,20,9.55
"285","BTM","Butte, MT: Bert Mooney","SkyWest",1859,674,2.75816023738872
"286","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CommuteAir",9261,849,10.9081272084806
"287","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","Delta",8245,1046,7.88240917782027
"288","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","Endeavor",2693,399,6.74937343358396
"289","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","Envoy",13225,1255,10.5378486055777
"290","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","Mesa",25819,755,34.1973509933775
"291","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","PSA",13151,1102,11.9337568058076
"292","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","Republic",101,3,33.6666666666667
"293","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","SkyWest",8013,541,14.81146025878
"294","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","United",232,7,33.1428571428571
"295","BTV","Burlington, VT: Burlington International","Air Wisconsin",241,46,5.23913043478261
"296","BTV","Burlington, VT: Burlington International","American",3738,308,12.1363636363636
"297","BTV","Burlington, VT: Burlington International","CommuteAir",3218,140,22.9857142857143
"298","BTV","Burlington, VT: Burlington International","Delta",3655,431,8.48027842227378
"299","BTV","Burlington, VT: Burlington International","Endeavor",13050,1441,9.05621096460791
"300","BTV","Burlington, VT: Burlington International","Envoy",969,87,11.1379310344828
"301","BTV","Burlington, VT: Burlington International","United Express",5768,403,14.3126550868486
"302","BTV","Burlington, VT: Burlington International","JetBlue",18020,847,21.2750885478158
"303","BTV","Burlington, VT: Burlington International","Mesa",2441,177,13.7909604519774
"304","BTV","Burlington, VT: Burlington International","PSA",20748,1754,11.8289623717218
"305","BTV","Burlington, VT: Burlington International","Piedmont",2518,202,12.4653465346535
"306","BTV","Burlington, VT: Burlington International","Republic",12320,1665,7.3993993993994
"307","BTV","Burlington, VT: Burlington International","SkyWest",455,61,7.45901639344262
"308","BTV","Burlington, VT: Burlington International","United",16889,1221,13.8321048321048
"309","BUF","Buffalo, NY: Buffalo Niagara International","Air Wisconsin",4061,233,17.4291845493562
"310","BUF","Buffalo, NY: Buffalo Niagara International","American",39891,1674,23.8297491039427
"311","BUF","Buffalo, NY: Buffalo Niagara International","CommuteAir",4238,397,10.6750629722922
"312","BUF","Buffalo, NY: Buffalo Niagara International","Delta",36955,2638,14.0087187263078
"313","BUF","Buffalo, NY: Buffalo Niagara International","Endeavor",20870,2436,8.56732348111658
