Unnamed: 0,airport,airport_name,carrier_name,arr_delay,arr_flights,avg_delay,longitude,latitude
61,ALB,"Albany, NY: Albany International",SkyWest,7136,651,10.9615975422427,-73.80297861,42.74811944
62,ALB,"Albany, NY: Albany International",Southwest,42211,3371,12.5218036191041,-73.80297861,42.74811944
63,ALB,"Albany, NY: Albany International",United,9535,779,12.2400513478819,-73.80297861,42.74811944
64,ALO,"Waterloo, IA: Waterloo Regional",Air Wisconsin,7961,568,14.0158450704225,-92.40034361,42.55708139
65,ALO,"Waterloo, IA: Waterloo Regional",Envoy,953,75,12.7066666666667,-92.40034361,42.55708139
66,ALO,"Waterloo, IA: Waterloo Regional",Piedmont,694,43,16.1395348837209,-92.40034361,42.55708139
67,ALW,"Walla Walla, WA: Walla Walla Regional",Horizon,726,137,5.2992700729927,-118.2880367,46.09456167
68,ALW,"Walla Walla, WA: Walla Walla Regional",SkyWest,1840,344,5.34883720930233,-118.2880367,46.09456167
69,AMA,"Amarillo, TX: Rick Husband Amarillo International",American,28054,761,36.8646517739816,-101.7059272,35.2193725
70,AMA,"Amarillo, TX: Rick Husband Amarillo International",CommuteAir,5009,423,11.8416075650118,-101.7059272,35.2193725
71,AMA,"Amarillo, TX: Rick Husband Amarillo International",Envoy,6841,1002,6.82734530938124,-101.7059272,35.2193725
72,AMA,"Amarillo, TX: Rick Husband Amarillo International",Mesa,2851,123,23.1788617886179,-101.7059272,35.2193725
73,AMA,"Amarillo, TX: Rick Husband Amarillo International",SkyWest,17849,1109,16.0946798917944,-101.7059272,35.2193725
74,AMA,"Amarillo, TX: Rick Husband Amarillo International",Southwest,22525,2409,9.35035284350353,-101.7059272,35.2193725
75,ANC,"Anchorage, AK: Ted Stevens Anchorage International",Alaska,130400,13958,9.34231265224244,-149.9961856,61.17432028
76,ANC,"Anchorage, AK: Ted Stevens Anchorage International",American,10815,462,23.4090909090909,-149.9961856,61.17432028
77,ANC,"Anchorage, AK: Ted Stevens Anchorage International",Delta,20508,2364,8.6751269035533,-149.9961856,61.17432028
78,ANC,"Anchorage, AK: Ted Stevens Anchorage International",Horizon,35225,3524,9.99574347332577,-149.9961856,61.17432028
79,ANC,"Anchorage, AK: Ted Stevens Anchorage International",United,17285,1066,16.2148217636023,-149.9961856,61.17432028
80,APN,"Alpena, MI: Alpena County Regional",SkyWest,6590,451,14.6119733924612,-83.56028583,45.0780675
81,ART,"Watertown, NY: Watertown International",Air Wisconsin,1209,13,93.0,-76.02173861,43.99192222
82,ART,"Watertown, NY: Watertown International",Piedmont,3440,681,5.05139500734214,-76.02173861,43.99192222
83,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",SkyWest,142538,6591,21.6261568805947,-106.868845,39.22316
84,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Air Wisconsin,0,1,0.0,-84.42694444,33.64044444
85,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Alaska,9807,1147,8.55013077593723,-84.42694444,33.64044444
86,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",American,184733,8593,21.4980798324217,-84.42694444,33.64044444
87,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Delta,2390432,219927,10.8692066003719,-84.42694444,33.64044444
88,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Endeavor,212807,20568,10.3465091404123,-84.42694444,33.64044444
89,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Envoy,5113,503,10.1650099403579,-84.42694444,33.64044444
90,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Frontier,329232,10531,31.2631279080809,-84.42694444,33.64044444
91,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",JetBlue,99311,3589,27.6709389802173,-84.42694444,33.64044444
92,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Mesa,7593,442,17.1787330316742,-84.42694444,33.64044444
93,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",PSA,13503,1237,10.9159256265158,-84.42694444,33.64044444
94,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Republic,15925,2204,7.22549909255898,-84.42694444,33.64044444
95,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",SkyWest,168623,9737,17.3177570093458,-84.42694444,33.64044444
96,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Southwest,380716,36667,10.383069244825,-84.42694444,33.64044444
97,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Spirit,274905,13658,20.1277639478694,-84.42694444,33.64044444
98,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",United,126681,8098,15.6434922203013,-84.42694444,33.64044444
99,ATW,"Appleton, WI: Appleton International",Air Wisconsin,38030,1608,23.6504975124378,-88.51947556,44.25740806
100,ATW,"Appleton, WI: Appleton International",Allegiant,41294,1180,34.9949152542373,-88.51947556,44.25740806
101,ATW,"Appleton, WI: Appleton International",Delta,1963,358,5.48324022346369,-88.51947556,44.25740806
102,ATW,"Appleton, WI: Appleton International",Endeavor,1852,215,8.61395348837209,-88.51947556,44.25740806
103,ATW,"Appleton, WI: Appleton International",Envoy,5053,319,15.8401253918495,-88.51947556,44.25740806
104,ATW,"Appleton, WI: Appleton International",United Express,102,1,102.0,-88.51947556,44.25740806
105,ATW,"Appleton, WI: Appleton International",Piedmont,757,32,23.65625,-88.51947556,44.25740806
106,ATW,"Appleton, WI: Appleton International",SkyWest,38059,2846,13.3728039353479,-88.51947556,44.25740806
107,AUS,"Austin, TX: Austin - Bergstrom International",Alaska,28336,2850,9.94245614035088,-97.66987194,30.19453278
108,AUS,"Austin, TX: Austin - Bergstrom International",Allegiant,23728,1274,18.6248037676609,-97.66987194,30.19453278
109,AUS,"Austin, TX: Austin - Bergstrom International",American,310889,15627,19.894349523261,-97.66987194,30.19453278
110,AUS,"Austin, TX: Austin - Bergstrom International",CommuteAir,0,2,0.0,-97.66987194,30.19453278
111,AUS,"Austin, TX: Austin - Bergstrom International",Delta,136201,10761,12.6569092091813,-97.66987194,30.19453278
112,AUS,"Austin, TX: Austin - Bergstrom International",Endeavor,6173,709,8.70662905500705,-97.66987194,30.19453278
113,AUS,"Austin, TX: Austin - Bergstrom International",Envoy,88320,8488,10.4052780395853,-97.66987194,30.19453278
114,AUS,"Austin, TX: Austin - Bergstrom International",Frontier,4649,319,14.5736677115987,-97.66987194,30.19453278
115,AUS,"Austin, TX: Austin - Bergstrom International",Hawaiian,2779,170,16.3470588235294,-97.66987194,30.19453278
116,AUS,"Austin, TX: Austin - Bergstrom International",Horizon,1854,210,8.82857142857143,-97.66987194,30.19453278
117,AUS,"Austin, TX: Austin - Bergstrom International",JetBlue,29607,1192,24.8380872483221,-97.66987194,30.19453278
118,AUS,"Austin, TX: Austin - Bergstrom International",Mesa,9805,547,17.9250457038391,-97.66987194,30.19453278
119,AUS,"Austin, TX: Austin - Bergstrom International",Republic,2000,88,22.7272727272727,-97.66987194,30.19453278
120,AUS,"Austin, TX: Austin - Bergstrom International",SkyWest,39099,1977,19.7769347496206,-97.66987194,30.19453278
121,AUS,"Austin, TX: Austin - Bergstrom International",Southwest,366855,37513,9.77940980460107,-97.66987194,30.19453278
122,AUS,"Austin, TX: Austin - Bergstrom International",Spirit,45875,2453,18.7015898899307,-97.66987194,30.19453278
123,AUS,"Austin, TX: Austin - Bergstrom International",United,131997,9392,14.0541950596252,-97.66987194,30.19453278
124,AVL,"Asheville, NC: Asheville Regional",Air Wisconsin,4519,188,24.0372340425532,-82.54180556,35.43619444
125,AVL,"Asheville, NC: Asheville Regional",Allegiant,77487,3137,24.7009882052917,-82.54180556,35.43619444
126,AVL,"Asheville, NC: Asheville Regional",American,30447,1118,27.2334525939177,-82.54180556,35.43619444
127,AVL,"Asheville, NC: Asheville Regional",Delta,19271,2113,9.12020823473734,-82.54180556,35.43619444
128,AVL,"Asheville, NC: Asheville Regional",Endeavor,6385,774,8.24935400516796,-82.54180556,35.43619444
129,AVL,"Asheville, NC: Asheville Regional",Envoy,10448,636,16.4276729559748,-82.54180556,35.43619444
130,AVL,"Asheville, NC: Asheville Regional",United Express,1267,254,4.98818897637795,-82.54180556,35.43619444
131,AVL,"Asheville, NC: Asheville Regional",JetBlue,2369,83,28.5421686746988,-82.54180556,35.43619444
132,AVL,"Asheville, NC: Asheville Regional",PSA,14742,1677,8.7906976744186,-82.54180556,35.43619444
133,AVL,"Asheville, NC: Asheville Regional",Piedmont,5651,619,9.12924071082391,-82.54180556,35.43619444
134,AVL,"Asheville, NC: Asheville Regional",Republic,7765,955,8.13089005235602,-82.54180556,35.43619444
135,AVL,"Asheville, NC: Asheville Regional",SkyWest,8661,720,12.0291666666667,-82.54180556,35.43619444
136,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Air Wisconsin,2704,159,17.0062893081761,-75.7242675,41.33814944
137,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",American,12390,659,18.8012139605463,-75.7242675,41.33814944
138,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Envoy,1665,236,7.05508474576271,-75.7242675,41.33814944
139,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",United Express,9125,591,15.4399323181049,-75.7242675,41.33814944
140,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",PSA,3704,404,9.16831683168317,-75.7242675,41.33814944
141,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Republic,2009,175,11.48,-75.7242675,41.33814944
142,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",SkyWest,13429,568,23.6426056338028,-75.7242675,41.33814944
143,AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",Allegiant,102269,5452,18.7580704328687,-111.6559,33.3090
144,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",Air Wisconsin,16734,669,25.0134529147982,-85.5520575,42.234875
145,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",Endeavor,5914,526,11.2433460076046,-85.5520575,42.234875
146,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",Envoy,662,53,12.4905660377358,-85.5520575,42.234875
147,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",Piedmont,588,51,11.5294117647059,-85.5520575,42.234875
148,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",SkyWest,2188,284,7.70422535211268,-85.5520575,42.234875
149,BDL,"Hartford, CT: Bradley International",American,58963,2995,19.6871452420701,-72.68322833,41.93887417
150,BDL,"Hartford, CT: Bradley International",CommuteAir,910,35,26.0,-72.68322833,41.93887417
151,BDL,"Hartford, CT: Bradley International",Delta,35178,3900,9.02,-72.68322833,41.93887417
152,BDL,"Hartford, CT: Bradley International",Endeavor,6473,456,14.1951754385965,-72.68322833,41.93887417
153,BDL,"Hartford, CT: Bradley International",Envoy,2267,317,7.15141955835962,-72.68322833,41.93887417
154,BDL,"Hartford, CT: Bradley International",Frontier,29217,987,29.6018237082067,-72.68322833,41.93887417
155,BDL,"Hartford, CT: Bradley International",United Express,459,23,19.9565217391304,-72.68322833,41.93887417
156,BDL,"Hartford, CT: Bradley International",JetBlue,99385,3388,29.3344155844156,-72.68322833,41.93887417
157,BDL,"Hartford, CT: Bradley International",Mesa,11176,693,16.1269841269841,-72.68322833,41.93887417
158,BDL,"Hartford, CT: Bradley International",PSA,15088,1541,9.7910447761194,-72.68322833,41.93887417
159,BDL,"Hartford, CT: Bradley International",Piedmont,4820,501,9.62075848303393,-72.68322833,41.93887417
160,BDL,"Hartford, CT: Bradley International",Republic,8719,1453,6.0006882312457,-72.68322833,41.93887417
161,BDL,"Hartford, CT: Bradley International",SkyWest,1338,117,11.4358974358974,-72.68322833,41.93887417
162,BDL,"Hartford, CT: Bradley International",Southwest,49591,3945,12.5705956907478,-72.68322833,41.93887417
163,BDL,"Hartford, CT: Bradley International",Spirit,15568,840,18.5333333333333,-72.68322833,41.93887417
164,BDL,"Hartford, CT: Bradley International",United,25451,1717,14.8229470005824,-72.68322833,41.93887417
165,BET,"Bethel, AK: Bethel Airport",Alaska,6537,722,9.05401662049861,-161.8379975,60.77977639
166,BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",SkyWest,7104,606,11.7227722772277,-103.5956389,41.87402778
167,BFL,"Bakersfield, CA: Meadows Field",American,18842,830,22.7012048192771,-119.0567681,35.43359806
168,BFL,"Bakersfield, CA: Meadows Field",Envoy,3298,284,11.612676056338,-119.0567681,35.43359806
169,BFL,"Bakersfield, CA: Meadows Field",Mesa,0,1,0.0,-119.0567681,35.43359806
170,BFL,"Bakersfield, CA: Meadows Field",SkyWest,17225,1502,11.4680426098535,-119.0567681,35.43359806
171,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",Endeavor,10040,658,15.258358662614,-75.97961361,42.20848278
172,BGR,"Bangor, ME: Bangor International",Allegiant,3898,391,9.9693094629156,-68.82813889,44.80744444
173,BGR,"Bangor, ME: Bangor International",American,8347,570,14.6438596491228,-68.82813889,44.80744444
174,BGR,"Bangor, ME: Bangor International",Endeavor,13444,1494,8.99866131191432,-68.82813889,44.80744444
175,BGR,"Bangor, ME: Bangor International",Envoy,1229,161,7.63354037267081,-68.82813889,44.80744444
176,BGR,"Bangor, ME: Bangor International",United Express,1714,89,19.2584269662921,-68.82813889,44.80744444
177,BGR,"Bangor, ME: Bangor International",PSA,16134,1026,15.7251461988304,-68.82813889,44.80744444
178,BGR,"Bangor, ME: Bangor International",Piedmont,4402,354,12.4350282485876,-68.82813889,44.80744444
179,BGR,"Bangor, ME: Bangor International",Republic,8811,962,9.15904365904366,-68.82813889,44.80744444
180,BGR,"Bangor, ME: Bangor International",SkyWest,1133,110,10.3,-68.82813889,44.80744444
181,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",Air Wisconsin,2952,165,17.8909090909091,-86.75354972,33.56294306
182,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",American,28415,925,30.7189189189189,-86.75354972,33.56294306
183,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",CommuteAir,4811,293,16.419795221843,-86.75354972,33.56294306
184,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",Delta,25613,2718,9.42347314201619,-86.75354972,33.56294306
185,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",Endeavor,11753,1054,11.1508538899431,-86.75354972,33.56294306
186,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",Envoy,17324,1646,10.5249088699878,-86.75354972,33.56294306
187,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",United Express,1862,196,9.5,-86.75354972,33.56294306
188,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",Mesa,25584,895,28.5854748603352,-86.75354972,33.56294306
189,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",PSA,35805,3287,10.892911469425,-86.75354972,33.56294306
190,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",Piedmont,86,8,10.75,-86.75354972,33.56294306
191,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",Republic,4275,498,8.58433734939759,-86.75354972,33.56294306
192,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",SkyWest,24100,1853,13.0059363194819,-86.75354972,33.56294306
193,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",Southwest,48812,3942,12.3825469304921,-86.75354972,33.56294306
194,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",United,64,23,2.78260869565217,-86.75354972,33.56294306
195,BIH,"Bishop, CA: Bishop Airport",SkyWest,4619,257,17.9727626459144,-118.3636089,37.37309556
196,BIL,"Billings, MT: Billings Logan International",Allegiant,3669,256,14.33203125,-108.5428611,45.8076625
197,BIL,"Billings, MT: Billings Logan International",CommuteAir,1288,116,11.1034482758621,-108.5428611,45.8076625
198,BIL,"Billings, MT: Billings Logan International",Delta,11618,795,14.6138364779874,-108.5428611,45.8076625
199,BIL,"Billings, MT: Billings Logan International",Envoy,5231,652,8.02300613496933,-108.5428611,45.8076625
200,BIL,"Billings, MT: Billings Logan International",Horizon,4862,800,6.0775,-108.5428611,45.8076625
201,BIL,"Billings, MT: Billings Logan International",Mesa,3825,165,23.1818181818182,-108.5428611,45.8076625
202,BIL,"Billings, MT: Billings Logan International",SkyWest,6384,1053,6.06267806267806,-108.5428611,45.8076625
203,BIL,"Billings, MT: Billings Logan International",United,13107,728,18.0041208791209,-108.5428611,45.8076625
204,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",Allegiant,4141,382,10.8403141361257,-100.7467222,46.77411111
205,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",Delta,6463,356,18.1544943820225,-100.7467222,46.77411111
206,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",Endeavor,244,1,244.0,-100.7467222,46.77411111
207,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",Envoy,3518,382,9.20942408376963,-100.7467222,46.77411111
208,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",Mesa,528,24,22.0,-100.7467222,46.77411111
209,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",SkyWest,23200,2376,9.76430976430976,-100.7467222,46.77411111
210,BJI,"Bemidji, MN: Bemidji Regional",SkyWest,6860,712,9.63483146067416,-94.93372333,47.50942417
211,BLI,"Bellingham, WA: Bellingham International",Allegiant,10906,966,11.2898550724638,-122.5375278,48.79275
212,BLI,"Bellingham, WA: Bellingham International",Horizon,1132,228,4.96491228070175,-122.5375278,48.79275
213,BLI,"Bellingham, WA: Bellingham International",SkyWest,2396,602,3.98006644518272,-122.5375278,48.79275
214,BLI,"Bellingham, WA: Bellingham International",Southwest,12146,1058,11.4801512287335,-122.5375278,48.79275
215,BLV,"Belleville, IL: Scott AFB MidAmerica St Louis",Allegiant,12466,984,12.6686991869919,-89.83518444,38.54517861
216,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Air Wisconsin,8448,475,17.7852631578947,-88.91595278,40.47798556
217,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Allegiant,2539,218,11.6467889908257,-88.91595278,40.47798556
218,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Endeavor,653,201,3.24875621890547,-88.91595278,40.47798556
219,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Envoy,4911,653,7.52067381316999,-88.91595278,40.47798556
220,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Frontier,1467,94,15.6063829787234,-88.91595278,40.47798556
221,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Mesa,2546,67,38.0,-88.91595278,40.47798556
222,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Piedmont,3202,183,17.4972677595628,-88.91595278,40.47798556
223,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",SkyWest,9874,616,16.0292207792208,-88.91595278,40.47798556
224,BNA,"Nashville, TN: Nashville International",Alaska,7079,834,8.48800959232614,-86.67818222,36.12447667
225,BNA,"Nashville, TN: Nashville International",Allegiant,85523,4130,20.7077481840194,-86.67818222,36.12447667
226,BNA,"Nashville, TN: Nashville International",American,159114,8119,19.5977337110482,-86.67818222,36.12447667
227,BNA,"Nashville, TN: Nashville International",CommuteAir,112,4,28.0,-86.67818222,36.12447667
228,BNA,"Nashville, TN: Nashville International",Delta,81013,8228,9.84601361205639,-86.67818222,36.12447667
229,BNA,"Nashville, TN: Nashville International",Endeavor,9534,928,10.2737068965517,-86.67818222,36.12447667
230,BNA,"Nashville, TN: Nashville International",Envoy,33863,2898,11.6849551414769,-86.67818222,36.12447667
231,BNA,"Nashville, TN: Nashville International",Frontier,18185,1111,16.3681368136814,-86.67818222,36.12447667
232,BNA,"Nashville, TN: Nashville International",United Express,958,97,9.87628865979381,-86.67818222,36.12447667
233,BNA,"Nashville, TN: Nashville International",JetBlue,55361,2220,24.9373873873874,-86.67818222,36.12447667
234,BNA,"Nashville, TN: Nashville International",Mesa,11061,759,14.5731225296443,-86.67818222,36.12447667
235,BNA,"Nashville, TN: Nashville International",PSA,28841,2843,10.1445655997186,-86.67818222,36.12447667
236,BNA,"Nashville, TN: Nashville International",Piedmont,86,5,17.2,-86.67818222,36.12447667
237,BNA,"Nashville, TN: Nashville International",Republic,30428,4497,6.76628863686902,-86.67818222,36.12447667
238,BNA,"Nashville, TN: Nashville International",SkyWest,48150,2729,17.6438255771345,-86.67818222,36.12447667
239,BNA,"Nashville, TN: Nashville International",Southwest,453500,48264,9.39623736118017,-86.67818222,36.12447667
240,BNA,"Nashville, TN: Nashville International",Spirit,60095,3262,18.4227467811159,-86.67818222,36.12447667
241,BNA,"Nashville, TN: Nashville International",United,95605,6436,14.8547234307023,-86.67818222,36.12447667
