place,lat,long,article,color
"New Haven, United States",41.3083,-72.9279,America 250,#8b2621
"New Orleans, United States",29.9575,-90.063056,America 250,#8b2621
"Newtown, United States",41.4123,-73.3115,America 250,#8b2621
"Niagara Falls, United States",43.0827,-78.95,America 250,#8b2621
"Noxubee County, United States",33.0099,-88.7542,America 250,#8b2621
"Oak Ridge, United States",36.0104,-84.2696,America 250,#8b2621
"Oklahoma City, United States",35.472,-97.5171,America 250,#8b2621
"Olympia, United States",47.0379,-122.9007,America 250,#8b2621
"Omaha, United States",41.258611,-95.9375,America 250,#8b2621
"Orem, United States",40.277528,-111.714028,America 250,#8b2621
"Ottawa, United States",41.3456,-88.8426,America 250,#8b2621
"Overland Park, United States",38.9834,-94.6698,America 250,#8b2621
"Oxford, United States",34.3668,-89.5186,America 250,#8b2621
"Palm Beach, United States",26.7056,-80.0364,America 250,#8b2621
"Paradise, United States",36.095,-115.171667,America 250,#8b2621
"Paradise, United States",39.7596,-121.6219,America 250,#8b2621
"Pawtucket, United States",41.875833,-71.376944,America 250,#8b2621
"Philadelphia, United States",39.9508,-75.15216,America 250,#8b2621
"Phoenix, United States",33.4475,-112.0925,America 250,#8b2621
"Pittsburgh, United States",40.4406,-79.9959,America 250,#8b2621
"Port Chicago, United States",38.056,-122.0395,America 250,#8b2621
"Portland, United States",43.6591,-70.2568,America 250,#8b2621
"Promontory, United States",41.6185,-112.5483,America 250,#8b2621
"Providence, United States",41.824,-71.4128,America 250,#8b2621
"Put-in-Bay, United States",41.6528,-82.8172,America 250,#8b2621
"Quincy, United States",42.2529,-71.0023,America 250,#8b2621
"Riviera, United States",27.2988,-97.8067,America 250,#8b2621
"Rock Springs, United States",41.587624,-109.203243,America 250,#8b2621
"Roswell, United States",33.9501,-105.3144,America 250,#8b2621
"Salt Lake City, United States",40.753167,-111.813317,America 250,#8b2621
"San Antonio, United States",29.426,-98.4861,America 250,#8b2621
"San Diego County, United States",33.21475,-117.3875,America 250,#8b2621
"San Felipe, United States",29.79444,-96.104722,America 250,#8b2621
"San Juan, Puerto Rico",18.4655,-66.1057,America 250,#8b2621
"Santa Fe, United States",35.667222,-105.964444,America 250,#8b2621
"Savannah, United States",32.0809,-81.0912,America 250,#8b2621
"Seabrook, United States",42.898889,-70.850833,America 250,#8b2621
"Seattle, United States",47.6872,-122.2553,America 250,#8b2621
"Selma, United States",32.4074,-87.0211,America 250,#8b2621
"Sharpsburg, United States",39.4576,-77.7489,America 250,#8b2621
"Sibley, United States",39.1764,-94.1925,America 250,#8b2621
"Somerville, United States",42.3876,-71.0995,America 250,#8b2621
"Southampton County, United States",36.77,-77.161,America 250,#8b2621
"Speedway, United States",39.794722,-86.234444,America 250,#8b2621
"Springfield, United States",42.1015,-72.5898,America 250,#8b2621
"St. Charles County, United States",38.7881,-90.4974,America 250,#8b2621
"St. Joseph, United States",39.7684,-94.8467,America 250,#8b2621
"St. Louis, United States",38.6389,-90.2846,America 250,#8b2621
"Stillwater, United States",42.9403,-73.6506,America 250,#8b2621
"Sumter County, United States",28.66,-82.11,America 250,#8b2621
"Tallahassee, United States",30.4383,-84.2807,America 250,#8b2621
"Tombstone, United States",31.7129,-110.0676,America 250,#8b2621
"Topeka, United States",39.0473,-95.6752,America 250,#8b2621
"Troy, United States",42.7317,-73.6925,America 250,#8b2621
"Tulsa, United States",36.154,-95.9928,America 250,#8b2621
"Valley Forge, United States",40.099,-75.4691,America 250,#8b2621
"Victory, United States",43.4855,-91.2125,America 250,#8b2621
"Wabash, United States",40.8008,-85.8272,America 250,#8b2621
"Waco, United States",31.5116,-97.1647,America 250,#8b2621
"Washington, United States",38.9161,-77.0454,America 250,#8b2621
"Weehawken, United States",40.7716,-74.0128,America 250,#8b2621
"West Point, United States",41.3915,-73.956,America 250,#8b2621
"Wheeling, United States",40.072113,-80.7256723,America 250,#8b2621
"Worcester, United States",42.2714,-71.7989,America 250,#8b2621
"Yellowstone, United States",44.428,-110.5885,America 250,#8b2621
"Yorktown, United States",37.2388,-76.5097,America 250,#8b2621
"Minamitorishima, Japan",24.2868,153.9808,Land of the setting sun,#fd5e53
"Bundoran, Ireland",54.4791,-8.2779,Land of the setting sun,#fd5e53
"Thunder Bay, Canada",48.3809,-89.2477,Land of the setting sun,#fd5e53
"Cambridge, United States",42.3666,-71.1057,Land of the setting sun<br>America 250,#fd5e53
"Grand Rapids, United States",42.9634,-85.6681,Land of the setting sun,#fd5e53
"Bambouti, Central African Republic",5.3471,27.1941,Land of the setting sun,#fd5e53
"Kashgar, China",39.4677,75.9938,Land of the setting sun,#fd5e53
"Gandhigram, India",27.2777,96.9115,Land of the setting sun,#fd5e53
"Muxía, Spain",43.0548,-9.2121,Land of the setting sun,#fd5e53
"Alejandro Selkirk Island, Chile",-33.7761,-80.799,Land of the setting sun,#fd5e53
"Santiago, Chile",-33.4489,-70.6693,Land of the setting sun<br>Far from home<br>I found every international flight in the world*,#fd5e53
"Attu, United States",52.8763,172.8905,Land of the setting sun,#fd5e53
"Hall Island, United States",60.6527,-173.0704,Land of the setting sun,#fd5e53
"Gambell, United States",63.7777,-171.7326,Land of the setting sun,#fd5e53
"Vienna, Austria",48.2081,16.3713,I speedran all 23 districts in Vienna<br>How to fly to every country in the world,#c8102e
"Chișinău, Moldova",47.0105,28.8638,"Moldova 3, Poland 2",#ffd200
"Munich, Germany",48.1351,11.582,Predicting Euro 2024,#004ea0
"Berlin, Germany",52.52,13.405,Recapping Euro 2024,#004ea0
"Madeira, Portugal",32.7607,-16.9595,Far from home,#8c75dd
"Sydney, Australia",-33.8688,151.2093,Far from home,#8c75dd
"Shanghai, China",31.2304,121.4737,Far from home,#8c75dd
"Juist, Germany",53.6814,7.0082,Far from home,#8c75dd
"Buenos Aires, Argentina",-34.6037,-58.3816,Far from home,#8c75dd
"Taipei, Taiwan",25.033,121.5654,Far from home,#8c75dd
"Asunción, Paraguay",-25.2637,-57.5759,Far from home,#8c75dd
"Valverde del Majano, Spain",40.9556,-4.2346,Far from home,#8c75dd
"Port Awanui, New Zealand",-37.8221,178.434,Far from home,#8c75dd
"Easter Island, Chile",-27.1127,-109.3497,I found every international flight in the world*,#e30a17
"Istanbul, Turkey",41.0082,28.9784,I found every international flight in the world*,#e30a17
"Funafuti, Tuvalu",-8.5211,179.1962,How to fly to every country in the world,#69b3e7
"Paris, France",48.8575,2.3514,How to fly to every country in the world,#69b3e7
"Miami, United States",25.7617,-80.1918,How to fly to every country in the world,#69b3e7
"Honolulu, United States",21.3069,-157.8583,How to fly to every country in the world<br>America 250,#69b3e7
"Nadi, Fiji",-17.7554,177.443,How to fly to every country in the world,#69b3e7
"Maseru, Lesotho",-29.3152,27.4869,How to fly to every country in the world,#69b3e7
"Johannesburg, South Africa",-26.2041,28.0473,How to fly to every country in the world,#69b3e7
"Pyongyang, North Korea",39.0392,125.7625,How to fly to every country in the world,#69b3e7
"Vladivostok, Russia",43.1155,131.8855,How to fly to every country in the world,#69b3e7
"Beijing, China",39.9042,116.4074,How to fly to every country in the world,#69b3e7
Guam,13.4443,144.7937,How to fly to every country in the world<br>America 250,#69b3e7
Palau,7.515,134.5825,How to fly to every country in the world,#69b3e7
"Vancouver, Canada",49.2827,-123.1207,How to fly to every country in the world,#69b3e7
"Panama City, Panama",8.9824,-79.5199,How to fly to every country in the world,#69b3e7
"São Paulo, Brazil",-23.5505,-46.6333,How to fly to every country in the world,#69b3e7
"Valencia, Venezuela",10.162,-68.0077,How to fly to every country in the world,#69b3e7
Singapore,1.3521,103.8198,How to fly to every country in the world<br>The Wrong Brothers,#69b3e7
"Dili, Timor-Leste",-8.5569,125.5603,How to fly to every country in the world,#69b3e7
"Dubai, United Arab Emirates",25.277,55.2962,How to fly to every country in the world,#69b3e7
"Addis Ababa, Ethiopia",9.145,40.4897,How to fly to every country in the world,#69b3e7
"Casablanca, Morocco",33.5731,-7.5898,How to fly to every country in the world,#69b3e7
"Lisbon, Portugal",38.7169,-9.1399,How to fly to every country in the world,#69b3e7
São Tomé and Príncipe,0.1864,6.6131,How to fly to every country in the world,#69b3e7
"Tehran, Iran",35.6892,51.389,The Wrong Brothers,#009739
"Caracas, Venezuela",10.4806,-66.9036,The Wrong Brothers,#009739
"Toronto, Canada",43.6532,-79.3832,The Wrong Brothers,#009739
"Newark, United States",40.7357,-74.1724,The Wrong Brothers,#009739
"New York City, United States",40.7128,-74.006,I found every international flight in the world*<br>Land of the setting sun<br>The Wrong Brothers<br>I listened to one song in every language<br>America 250,#e30a17
"San Francisco, United States",37.7749,-122.4194,The Wrong Brothers<br>America 250,#009739
"Outer Banks, United States",35.5585,-75.4665,The Wrong Brothers,#009739
"Auckland, New Zealand",-36.8509,174.7645,The Wrong Brothers,#009739
"Cairo, Egypt",30.0444,31.2357,The Wrong Brothers,#009739
"Doha, Qatar",25.276987,51.52,The Wrong Brothers,#009739
"Moscow, Russia",55.7558,37.6173,The Wrong Brothers,#009739
"Havana, Cuba",23.1136,-82.3666,The Wrong Brothers,#009739
Seychelles,-4.6796,55.492,The Wrong Brothers,#009739
"Ashgabat, Turkmenistan",37.9601,58.3261,The Wrong Brothers,#009739
"Sisimiut, Greenland",66.9395,-53.6735,I listened to one song in every language,#9f9f6c
"Khartoum, Sudan",15.5007,32.5599,I listened to one song in every language,#9f9f6c
"Atlanta, United States",33.749,-84.388,I listened to one song in every language<br>America 250,#9f9f6c
"Ayacucho, Peru",-13.1588,-74.2239,I listened to one song in every language,#9f9f6c
"Holmes County, United States",40.5534,-81.9184,I listened to one song in every language,#9f9f6c
"Tuamotu Archipelago, French Polynesia",-18.75,-141.76,I listened to one song in every language,#9f9f6c
"North Karelia, Finland",63,30,I listened to one song in every language,#9f9f6c
"Dagestan, Russia",42.9839,47.505,I listened to one song in every language,#9f9f6c
"Boston, United States",42.3555,71.0565,We speedran the Boston subway system<br>America 250,#00843d
